Otu,domain,phylum,class,order,family,genus,species
ASV1,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV2,Eukaryota,NA,NA,NA,NA,NA,NA
ASV3,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV6,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV22,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Telotrochidium,NA
ASV5,Eukaryota,NA,NA,NA,NA,NA,NA
ASV9,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV14,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV20,Eukaryota,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA
ASV4,Eukaryota,Diatomea,NA,NA,Melosirids,Melosira,NA
ASV13,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV12,Eukaryota,Cercozoa,Thecofilosea,Incertae Sedis_10,NA,NA,NA
ASV17,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV11,Eukaryota,NA,NA,NA,NA,NA,NA
ASV39,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV32,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV10,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV15,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV7,Eukaryota,Diatomea,NA,Fragilariales,NA,Ulnaria,NA
ASV27,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV58,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Tetrahymena,NA
ASV31,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV28,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV60,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,NA,NA
ASV19,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,NA,NA
ASV34,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV23,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV45,Eukaryota,Labyrinthulomycetes,NA,NA,Amphitraemidae,NA,NA
ASV61,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV56,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV26,Eukaryota,Apusomonadidae,NA,NA,NA,Amastigomonas,NA
ASV49,Eukaryota,Chytridiomycota,Chytridiomycetes,NA,NA,NA,NA
ASV46,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV85,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,NA,NA
ASV16,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Encyonema,NA
ASV82,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Tokophrya,NA
ASV62,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,NA,NA
ASV98,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV36,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV44,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV18,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV76,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV153,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Telotrochidium,NA
ASV57,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV37,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV35,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV29,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV21,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV67,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV81,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV40,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV83,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV48,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV59,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV147,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV55,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Tokophrya,NA
ASV43,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV75,Eukaryota,Labyrinthulomycetes,NA,NA,Amphitraemidae,NA,NA
ASV129,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV79,Eukaryota,NA,NA,NA,NA,NA,NA
ASV51,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Cocconeis,NA
ASV73,Eukaryota,Cercozoa,Vampyrellidae,NA,NA,Leptophrys,NA
ASV50,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV198,Eukaryota,Annelida,Clitellata,Haplotaxida,NA,NA,NA
ASV8,Eukaryota,NA,NA,NA,NA,NA,NA
ASV118,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV33,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV71,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV91,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phascolodon,NA
